from_id,to_id,base_walk_min,family_walk_min,elder_walk_min,is_step_free,stroller_friendly,path_type,notes
versailles:Garden:bosquet-des-bains-dapollon,versailles:Garden:parterre-de-latone,4,5,6,True,True,outdoor,Bosquet des Bains d'Apollon vers Parterre de Latone
versailles:Garden:bassin-de-ceres,versailles:Garden:bosquet-de-letoile,2,3.0,4,True,True,outdoor,Bassin de Cérès vers Bosquet de l'Étoile
versailles:Garden:bosquet-de-letoile,versailles:Garden:bassin-de-ceres,2,3.0,4,True,True,outdoor,Bosquet de l'Étoile vers Bassin de Cérès
versailles:Garden:bosquet-de-letoile,versailles:Garden:bassin-de-flore,2,3.0,4,True,True,outdoor,Bosquet de l'Étoile vers Bassin de Flore
versailles:Garden:bassin-de-flore,versailles:Garden:bosquet-de-letoile,2,3.0,4,True,True,outdoor,Bassin de Flore vers Bosquet de l'Étoile
versailles:Garden:bassin-dapollon,versailles:Garden:entree-parc-bassin-apollon,2,2,2,True,True,outdoor,Bassin d'Apollon vers Entrée Parc Bassin d'Apollon
versailles:Garden:le-mirroir,versailles:Garden:jardin-du-roi,2,2,2,True,True,outdoor,Le Mirroir vers Jardin du Roi
versailles:Garden:grille-des-matelots,versailles:Garden:jardin-du-roi,2,2,2,True,True,outdoor,Le Mirroir vers Jardin du Roi
versailles:Garden:jardin-du-roi,versailles:Garden:grille-des-matelots,2,2,2,True,True,outdoor,Le Mirroir vers Jardin du Roi
versailles:Garden:grille-des-matelots,versailles:Garden:bassin-dapollon,4,4,4,True,True,outdoor,Le Mirroir vers Jardin du Roi
versailles:Garden:bassin-dapollon,versailles:Garden:grille-des-matelots,4,4,4,True,True,outdoor,Le Mirroir vers Jardin du Roi
versailles:Garden:bassin-de-saturne,versailles:Garden:jardin-du-roi,2,2,2,True,True,outdoor,Bassin de Saturne vers Jardin du Roi
versailles:Garden:le-mirroir,versailles:Garden:bassin-de-saturne,1,1,1,True,True,outdoor,Le Mirroir vers Bassin de Saturne
versailles:Garden:le-mirroir,versailles:Garden:bassin-de-saturne,1,1,1,True,True,outdoor,Le Mirroir vers Bassin de Saturne
versailles:Garden:bassin-de-saturne,versailles:Garden:bosquet-de-la-salle-des-empereurs,1,1,1,True,True,outdoor,Bassin de Saturne vers Bosquet de la Salle des Empereurs
versailles:Garden:bassin-de-saturne,versailles:Garden:bosquet-de-la-colonnade,1,1,1,True,True,outdoor,Bassin de Saturne vers Bosquet de la Colonnade
versailles:Garden:bosquet-de-la-salle-des-empereurs,versailles:Garden:bosquet-de-la-colonnade,1,1,1,True,True,outdoor,Bosquet de la Salle des Empereurs vers Bosquet de la Colonnade
versailles:Garden:bosquet-de-la-salle-des-empereurs,versailles:Garden:bassin-dapollon,3,4,5,True,True,outdoor,Bosquet de la Salle des Empereurs vers Bassin d'Apollon
versailles:Garden:bosquet-de-la-colonnade,versailles:Garden:bassin-dapollon,3,4,5,True,True,outdoor,Bosquet de la Colonnade vers Bassin d'Apollon
versailles:Garden:bassin-de-flore,versailles:Garden:bosquet-des-domes,2,3,4,True,True,outdoor,Bassin de Flore vers Bosquet des Dômes
versailles:Garden:bassin-de-flore,versailles:Garden:bosquet-de-lencelade,2,3,4,True,True,outdoor,Bassin de Flore vers Bosquet de l'Encelade
versailles:Garden:bosquet-de-lencelade,versailles:Garden:bassin-dapollon,4,5,5,True,True,outdoor,Bosquet de l'Encelade vers Bassin d'Apollon
versailles:Garden:bosquet-des-domes,versailles:Garden:bassin-dapollon,4,5,5,True,True,outdoor,Bosquet des Dômes vers Bassin d'Apollon
versailles:Garden:bosquet-de-lencelade,versailles:Garden:bosquet-de-lobelisque,5,6,6,True,True,outdoor,Bosquet de l'Encelade vers Bosquet de l'Obélisque
versailles:Garden:bassin-de-flore,versailles:Garden:bosquet-de-lobelisque,5,6,6,True,True,outdoor,Bassin de Flore vers Bosquet de l'Obélisque
versailles:Garden:bassin-dapollon,versailles:Garden:bosquet-de-lobelisque,8,9,9,True,True,outdoor,Bassin d'Apollon vers Bosquet de l'Obélisque
versailles:Garden:bosquet-de-letoile,versailles:Garden:bosquet-de-lobelisque,6,7,7,True,True,outdoor,Bosquet de l'Étoile vers Bosquet de l'Obélisque
versailles:Garden:bosquet-de-lobelisque,versailles:Garden:bosquet-de-lencelade,5,6,6,True,True,outdoor,Bosquet de l'Encelade vers Bosquet de l'Obélisque
versailles:Garden:bosquet-de-lobelisque,versailles:Garden:bassin-de-flore,5,6,6,True,True,outdoor,Bassin de Flore vers Bosquet de l'Obélisque
versailles:Garden:bosquet-de-lobelisque,versailles:Garden:bassin-dapollon,8,9,9,True,True,outdoor,Bassin d'Apollon vers Bosquet de l'Obélisque
versailles:Garden:bosquet-de-lobelisque,versailles:Garden:bosquet-de-letoile,6,7,7,True,True,outdoor,Bosquet de l'Étoile vers Bosquet de l'Obélisque
versailles:Garden:entree-parc-bassin-apollon,versailles:Park:grand-canal,0,0,0,True,True,outdoor,Entrée Parc Bassin d'Apollon vers Grand Canal
versailles:Park:grand-canal,versailles:Park:etoile-royale,35,40,45,False,True,outdoor,Grand Canal vers Étoile Royale
versailles:Park:etoile-royale,versailles:Park:grand-canal,35,40,45,False,True,outdoor,Étoile Royale vers Grand Canal
versailles:Park:etoile-royale,versailles:Trianon:entree-grand-trianon,18,20,22.5,False,True,outdoor,Étoile Royale vers Entrée Grand Trianon
versailles:Trianon:entree-grand-trianon,versailles:Trianon:entree-petit-trianon,6,7,8,True,True,outdoor,Entrée Grand Trianon vers Entrée Petit Trianon
versailles:Park:grand-canal,versailles:Trianon:entree-grand-trianon,18,20,22.5,True,True,outdoor,Grand Canal vers Entrée Grand Trianon
versailles:Park:grand-canal,versailles:Trianon:entree-petit-trianon,22,24,26,True,True,outdoor,Grand Canal vers Entrée Petit Trianon
versailles:Trianon:entree-petit-trianon,versailles:Garden:entree-parc-bassin-apollon,22,24,26,True,True,outdoor,Grand Canal vers Entrée Petit Trianon
